"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","25","2 out of 5 stars","0"
"2",1,"Jonathan Taylor",IND,"RB2","14","22","4 out of 5 stars","+2"
"3",1,"Saquon Barkley",NYG,"RB3","10","24","2 out of 5 stars","0"
"4",1,"Dalvin Cook",MIN,"RB4","7","26","3 out of 5 stars","-2"
"5",2,"Alvin Kamara",NO,"RB5","6","26","2 out of 5 stars","0"
"6",2,"Tyreek Hill",KC,"WR1","12","27","3 out of 5 stars","+6"
"7",2,"D.K. Metcalf",SEA,"WR2","9","23","1 out of 5 stars","+2"
"8",2,"A.J. Brown",TEN,"WR3","13","24","3 out of 5 stars","+3"
"9",2,"Justin Jefferson",MIN,"WR4","7","22","3 out of 5 stars","-3"
"10",2,"Davante Adams",GB,"WR5","13","28","1 out of 5 stars","+5"
"11",2,"Nick Chubb",CLE,"RB6","13","25","4 out of 5 stars","-3"
"12",3,"Stefon Diggs",BUF,"WR6","7","27","3 out of 5 stars","+13"
"13",3,"Derrick Henry",TEN,"RB7","13","27","3 out of 5 stars","-6"
"14",3,"Najee Harris",PIT,"RB8","7","23","5 out of 5 stars","-4"
"15",3,"Calvin Ridley",ATL,"WR7","6","26","4 out of 5 stars","+13"
"16",3,"Aaron Jones",GB,"RB9","13","26","0 out of 5 stars","0"
"17",3,"CeeDee Lamb",DAL,"WR8","7","22","1 out of 5 stars","+5"
"18",3,"Travis Kelce",KC,"TE1","12","31","3 out of 5 stars","-4"
"19",3,"D'Andre Swift",DET,"RB10","9","22","0 out of 5 stars","+1"
"20",3,"Antonio Gibson",WAS,"RB11","9","23","3 out of 5 stars","-3"
"21",3,"DeAndre Hopkins",ARI,"WR9","12","29","2 out of 5 stars","+11"
"22",4,"J.K. Dobbins",BAL,"RB12","8","22","4 out of 5 stars","+7"
"23",4,"Ezekiel Elliott",DAL,"RB13","7","26","2 out of 5 stars","-10"
"24",4,"Terry McLaurin",WAS,"WR10","9","25","3 out of 5 stars","-1"
"25",4,"George Kittle",SF,"TE2","6","27","4 out of 5 stars","-4"
"26",4,"Patrick Mahomes II",KC,"QB1","12","25","4 out of 5 stars","-8"
"27",4,"Clyde Edwards-Helaire",KC,"RB14","12","22","4 out of 5 stars","-8"
"28",4,"Joe Mixon",CIN,"RB15","10","25","3 out of 5 stars","-1"
"29",4,"Ja'Marr Chase",CIN,"WR11","10","21","2 out of 5 stars","-5"
"30",4,"Chris Godwin",TB,"WR12","9","25","2 out of 5 stars","+15"
"31",4,"Allen Robinson II",CHI,"WR13","10","28","3 out of 5 stars","+6"
"32",4,"D.J. Moore",CAR,"WR14","13","24","5 out of 5 stars","+9"
"33",4,"Austin Ekeler",LAC,"RB16","7","26","4 out of 5 stars","-7"
"34",5,"Brandon Aiyuk",SF,"WR15","6","23","5 out of 5 stars","+10"
"35",5,"Amari Cooper",DAL,"WR16","7","27","1 out of 5 stars","+8"
"36",5,"Tee Higgins",CIN,"WR17","10","22","2 out of 5 stars","+13"
"37",5,"Mike Evans",TB,"WR18","9","28","2 out of 5 stars","+15"
"38",5,"Darren Waller",LV,"TE3","8","28","4 out of 5 stars","-7"
"39",5,"Keenan Allen",LAC,"WR19","7","29","3 out of 5 stars","-4"
"40",5,"Kyle Pitts",ATL,"TE4","6","20","2 out of 5 stars","-10"
"41",5,"Michael Thomas",NO,"WR20","6","28","4 out of 5 stars","+6"
"42",5,"Miles Sanders",PHI,"RB17","14","24","3 out of 5 stars","-6"
"43",5,"Javonte Williams",DEN,"RB18","11","21","5 out of 5 stars","-5"
"44",5,"Diontae Johnson",PIT,"WR21","7","25","2 out of 5 stars","+58"
"45",5,"Josh Allen",BUF,"QB2","7","25","1 out of 5 stars","-11"
"46",5,"Kyler Murray",ARI,"QB3","12","24","2 out of 5 stars","-7"
"47",5,"Jerry Jeudy",DEN,"WR22","11","22","4 out of 5 stars","+3"
"48",5,"David Montgomery",CHI,"RB19","10","24","3 out of 5 stars","-8"
"49",6,"Josh Jacobs",LV,"RB20","8","23","2 out of 5 stars","-16"
"50",6,"Kenny Golladay",NYG,"WR23","10","27","3 out of 5 stars","+55"
"51",6,"Courtland Sutton",DEN,"WR24","11","25","4 out of 5 stars","+17"
"52",6,"Cooper Kupp",LAR,"WR25","11","28","5 out of 5 stars","+3"
"53",6,"Lamar Jackson",BAL,"QB4","8","24","2 out of 5 stars","+44"
"54",6,"DeVonta Smith",PHI,"WR26","14","22","3 out of 5 stars","-6"
"55",6,"Chase Claypool",PIT,"WR27","7","23","2 out of 5 stars","+1"
"56",6,"Dak Prescott",DAL,"QB5","7","28","2 out of 5 stars","-10"
"57",6,"Travis Etienne Jr.",JAC,"RB21","7","22","4 out of 5 stars","-"
"58",6,"Robert Woods",LAR,"WR28","11","29","5 out of 5 stars","+49"
"59",6,"Chris Carson",SEA,"RB22","9","26","1 out of 5 stars","-17"
"60",6,"T.J. Hockenson",DET,"TE5","9","24","4 out of 5 stars","-3"
"61",6,"Kareem Hunt",CLE,"RB23","13","26","4 out of 5 stars","-7"
"62",6,"Mark Andrews",BAL,"TE6","8","25","4 out of 5 stars","-11"
"63",6,"Justin Herbert",LAC,"QB6","7","23","2 out of 5 stars","-10"
"64",6,"Trey Sermon",SF,"RB24","6","22","3 out of 5 stars","-3"
"65",6,"JuJu Smith-Schuster",PIT,"WR29","7","24","2 out of 5 stars","+44"
"66",6,"Tyler Lockett",SEA,"WR30","9","28","1 out of 5 stars","-8"
"67",6,"Jaylen Waddle",MIA,"WR31","14","22","3 out of 5 stars","-3"
"68",6,"Julio Jones",TEN,"WR32","13","32","3 out of 5 stars","-9"
"69",7,"Cam Akers",LAR,"RB25","11","22","4 out of 5 stars","-"
"70",7,"D.J. Chark Jr.",JAC,"WR33","7","24","5 out of 5 stars","+45"
"71",7,"Michael Carter",NYJ,"RB26","6","22","4 out of 5 stars","-5"
"72",7,"Odell Beckham Jr.",CLE,"WR34","13","28","1 out of 5 stars","-7"
"73",7,"Russell Wilson",SEA,"QB7","9","32","0 out of 5 stars","-4"
"74",7,"Noah Fant",DEN,"TE7","11","23","4 out of 5 stars","+4"
"75",7,"James Robinson",JAC,"RB27","7","23","4 out of 5 stars","-15"
"76",7,"Deebo Samuel",SF,"WR35","6","25","5 out of 5 stars","0"
"77",7,"Joe Burrow",CIN,"QB8","10","24","2 out of 5 stars","-3"
"78",7,"Myles Gaskin",MIA,"RB28","14","24","4 out of 5 stars","-11"
"79",7,"Rashod Bateman",BAL,"WR36","8","21","2 out of 5 stars","0"
"80",7,"Tyler Boyd",CIN,"WR37","10","26","2 out of 5 stars","-9"
"81",7,"Trevor Lawrence",JAC,"QB9","7","21","4 out of 5 stars","-18"
"82",7,"Dallas Goedert",PHI,"TE8","14","26","3 out of 5 stars","+2"
"83",7,"Adam Thielen",MIN,"WR38","7","31","3 out of 5 stars","-21"
"84",7,"Ronald Jones II",TB,"RB29","9","24","0 out of 5 stars","-11"
"85",7,"AJ Dillon",GB,"RB30","13","23","0 out of 5 stars","-10"
"86",7,"Damien Harris",NE,"RB31","14","24","3 out of 5 stars","0"
"87",7,"Darrell Henderson",LAR,"RB32","11","24","4 out of 5 stars","-4"
"88",7,"Laviska Shenault Jr.",JAC,"WR39","7","22","5 out of 5 stars","-11"
