"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Najee Harris",PIT,"RB1","7","23","5 out of 5 stars","0"
"2",1,"Ja'Marr Chase",CIN,"WR1","10","21","2 out of 5 stars","+1"
"3",1,"Kyle Pitts",ATL,"TE1","6","20","2 out of 5 stars","-1"
"4",2,"DeVonta Smith",PHI,"WR2","14","22","3 out of 5 stars","+2"
"5",2,"Trevor Lawrence",JAC,"QB1","7","21","4 out of 5 stars","0"
"6",2,"Javonte Williams",DEN,"RB2","11","21","5 out of 5 stars","-2"
"7",2,"Jaylen Waddle",MIA,"WR3","14","22","3 out of 5 stars","+1"
"8",2,"Travis Etienne Jr.",JAC,"RB3","7","22","4 out of 5 stars","-"
"9",3,"Rashod Bateman",BAL,"WR4","8","21","2 out of 5 stars","-2"
"10",3,"Elijah Moore",NYJ,"WR5","6","21","4 out of 5 stars","+1"
"11",3,"Rondale Moore",ARI,"WR6","12","21","2 out of 5 stars","+4"
"12",3,"Justin Fields",CHI,"QB2","10","22","2 out of 5 stars","-3"
"13",3,"Trey Lance",SF,"QB3","6","21","5 out of 5 stars","-3"
"14",3,"Terrace Marshall Jr.",CAR,"WR7","13","21","5 out of 5 stars","-2"
"15",3,"Trey Sermon",SF,"RB4","6","22","3 out of 5 stars","-2"
"16",3,"Michael Carter",NYJ,"RB5","6","22","4 out of 5 stars","-2"
"17",4,"Amon-Ra St. Brown",DET,"WR8","9","21","1 out of 5 stars","+1"
"18",4,"Kenneth Gainwell",PHI,"RB6","14","22","3 out of 5 stars","+2"
"19",4,"Zach Wilson",NYJ,"QB4","6","22","3 out of 5 stars","-3"
"20",4,"Kadarius Toney",NYG,"WR9","10","22","3 out of 5 stars","-3"
"21",4,"Dyami Brown",WAS,"WR10","9","21","3 out of 5 stars","-2"
"22",4,"Amari Rodgers",GB,"WR11","13","21","1 out of 5 stars","0"
"23",4,"Pat Freiermuth",PIT,"TE2","7","22","5 out of 5 stars","0"
"24",4,"D'Wayne Eskridge",SEA,"WR12","9","24","1 out of 5 stars","+2"
"25",4,"Chuba Hubbard",CAR,"RB7","13","22","2 out of 5 stars","-1"
"26",4,"Mac Jones",NE,"QB5","14","22","5 out of 5 stars","-5"
"27",4,"Tylan Wallace",BAL,"WR13","8","22","2 out of 5 stars","+7"
"28",5,"Nico Collins",HOU,"WR14","10","22","3 out of 5 stars","-3"
"29",5,"Rhamondre Stevenson",NE,"RB8","14","23","3 out of 5 stars","-1"
"30",5,"Elijah Mitchell",SF,"RB9","6","23","3 out of 5 stars","+1"
"31",5,"Tutu Atwell",LAR,"WR15","11","21","5 out of 5 stars","-1"
"32",5,"Josh Palmer",LAC,"WR16","7","21","3 out of 5 stars","-5"
"33",5,"Jermar Jefferson",DET,"RB10","9","21","0 out of 5 stars","-1"
"34",5,"Javian Hawkins",FA,"RB11","-","21","-","-5"
"35",5,"Kylin Hill",GB,"RB12","13","23","0 out of 5 stars","+5"
"36",5,"Anthony Schwartz",CLE,"WR17","13","20","1 out of 5 stars","0"
"37",5,"Seth Williams",DEN,"WR18","11","21","4 out of 5 stars","-4"
"38",5,"Brevin Jordan",HOU,"TE3","10","21","4 out of 5 stars","-1"
"39",5,"Khalil Herbert",CHI,"RB13","10","23","3 out of 5 stars","0"
"40",5,"Kyle Trask",TB,"QB6","9","23","2 out of 5 stars","+2"
"41",5,"Jaret Patterson",WAS,"RB14","9","21","3 out of 5 stars","+2"
"42",6,"Marquez Stevenson",BUF,"WR19","7","23","3 out of 5 stars","+12"
"43",6,"Demetric Felton",CLE,"WR20","13","23","1 out of 5 stars","+5"
"44",6,"Larry Rountree III",LAC,"RB15","7","22","4 out of 5 stars","+5"
"45",6,"Hunter Long",MIA,"TE4","14","23","4 out of 5 stars","-10"
"46",6,"Sage Surratt",DET,"WR21","9","23","1 out of 5 stars","+9"
"47",6,"Dazz Newsome",CHI,"WR22","10","22","3 out of 5 stars","-2"
"48",6,"Shi Smith",CAR,"WR23","13","22","5 out of 5 stars","+4"
"49",6,"Kellen Mond",MIN,"QB7","7","22","3 out of 5 stars","-2"
"50",6,"Dez Fitzpatrick",TEN,"WR24","13","23","3 out of 5 stars","-12"
"51",7,"Jaelon Darden",TB,"WR25","9","22","2 out of 5 stars","-7"
"52",7,"Cade Johnson",SEA,"WR26","9","23","1 out of 5 stars","+7"
"53",7,"Pooka Williams Jr.",CIN,"RB16","10","22","3 out of 5 stars","+5"
"54",7,"Cornell Powell",KC,"WR27","12","23","3 out of 5 stars","-13"
"55",7,"Chris Evans",CIN,"RB17","10","23","3 out of 5 stars","-5"
"56",7,"Davis Mills",HOU,"QB8","10","22","4 out of 5 stars","-10"
"57",7,"Ihmir Smith-Marsette",MIN,"WR28","7","22","3 out of 5 stars","-6"
"58",7,"Frank Darby",ATL,"WR29","6","23","4 out of 5 stars","+7"
"59",7,"Tre' McKitty",LAC,"TE5","7","22","3 out of 5 stars","+1"
"60",7,"Simi Fehoko",DAL,"WR30","7","23","1 out of 5 stars","+4"
"61",7,"Marlon Williams",FA,"WR31","-","-","-","+5"
"62",7,"Josh Imatorbhebhe",JAC,"WR32","7","23","5 out of 5 stars","+9"
"63",7,"Tommy Tremble",CAR,"TE6","13","21","4 out of 5 stars","-10"
"64",7,"Rakeem Boyd",FA,"RB18","-","-","-","-3"
"65",7,"Jacob Harris",LAR,"TE7","11","24","2 out of 5 stars","-8"
"66",7,"Trevon Grimes",FA,"WR33","-","-","-","+7"
"67",7,"Jamie Newman",FA,"QB9","-","23","-","+1"
"68",7,"Deon Jackson",IND,"RB19","14","22","4 out of 5 stars","-"
"69",7,"Damonte Coxie",FA,"WR34","-","-","-","-"
"70",7,"Jake Funk",LAR,"RB20","11","23","4 out of 5 stars","-7"
"71",7,"Sam Ehlinger",IND,"QB10","14","22","4 out of 5 stars","-"
"72",8,"T.J. Vasher",DAL,"WR35","7","23","1 out of 5 stars","-"
"73",8,"Damon Hazelton",GB,"WR36","13","24","1 out of 5 stars","-"
"74",8,"Austin Watkins Jr.",SF,"WR37","6","-","5 out of 5 stars","0"
"75",8,"Stevie Scott III",DEN,"RB21","11","21","5 out of 5 stars","-"
"76",8,"Kenny Yeboah",NYJ,"TE8","6","22","3 out of 5 stars","-7"
"77",8,"Jonathan Adams Jr.",FA,"WR38","-","22","-","-5"
"78",8,"Trey Ragas",LV,"RB22","8","24","2 out of 5 stars","-"
"79",8,"Dax Milne",WAS,"WR39","9","22","3 out of 5 stars","-"
"80",8,"Mekhi Sargent",TEN,"RB23","13","23","3 out of 5 stars","-"
"81",8,"Whop Philyor",MIN,"WR40","7","23","3 out of 5 stars","-"
"82",8,"Ian Book",NO,"QB11","6","23","3 out of 5 stars","-"
"83",8,"JaTarvious Whitlow",FA,"WR41","-","-","-","-"
"84",8,"Feleipe Franks",ATL,"QB12","6","23","3 out of 5 stars","-"
"85",8,"Johnathan Lovett",FA,"RB24","-","-","-","-"
"86",8,"Brady White",FA,"QB13","-","-","-","-"
"87",8,"Reggie Roberson Jr.",FA,"WR42","-","-","-","-"
"88",8,"Shakif Seymour",FA,"RB25","-","-","-","-"
"89",8,"K.J. Costello",LAC,"QB14","7","24","2 out of 5 stars","-"
"90",8,"Shane Buechele",KC,"QB15","12","23","4 out of 5 stars","-"
"91",8,"Eli Stove",FA,"WR43","-","-","-","-"
"92",8,"Zac Thomas",FA,"QB16","-","-","-","-"
"93",8,"JD Spielman",FA,"WR44","-","-","-","-"
"94",8,"CJ Marable",CHI,"RB26","10","24","3 out of 5 stars","-"
