"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Najee Harris",PIT,"RB1","7","23","5 out of 5 stars","0"
"2",1,"Ja'Marr Chase",CIN,"WR1","10","21","2 out of 5 stars","+1"
"3",1,"Kyle Pitts",ATL,"TE1","6","20","2 out of 5 stars","-1"
"4",1,"Travis Etienne",JAC,"RB2","7","22","4 out of 5 stars","0"
"5",2,"DeVonta Smith",PHI,"WR2","14","22","3 out of 5 stars","+2"
"6",2,"Trevor Lawrence",JAC,"QB1","7","21","4 out of 5 stars","0"
"7",2,"Javonte Williams",DEN,"RB3","11","21","5 out of 5 stars","-2"
"8",2,"Jaylen Waddle",MIA,"WR3","14","22","3 out of 5 stars","+1"
"9",3,"Rashod Bateman",BAL,"WR4","8","21","2 out of 5 stars","-1"
"10",3,"Trey Lance",SF,"QB2","6","21","5 out of 5 stars","+1"
"11",3,"Justin Fields",CHI,"QB3","10","22","2 out of 5 stars","-1"
"12",3,"Elijah Moore",NYJ,"WR5","6","21","4 out of 5 stars","0"
"13",3,"Rondale Moore",ARI,"WR6","12","21","2 out of 5 stars","+3"
"14",3,"Michael Carter",NYJ,"RB4","6","22","4 out of 5 stars","+1"
"15",3,"Terrace Marshall Jr.",CAR,"WR7","13","21","5 out of 5 stars","-2"
"16",3,"Trey Sermon",SF,"RB5","6","22","3 out of 5 stars","-2"
"17",3,"Zach Wilson",NYJ,"QB4","6","22","3 out of 5 stars","0"
"18",4,"Kadarius Toney",NYG,"WR8","10","22","3 out of 5 stars","0"
"19",4,"Amon-Ra St. Brown",DET,"WR9","9","21","1 out of 5 stars","0"
"20",4,"Kenneth Gainwell",PHI,"RB6","14","22","3 out of 5 stars","+1"
"21",4,"Dyami Brown",WAS,"WR10","9","21","3 out of 5 stars","-1"
"22",4,"D'Wayne Eskridge",SEA,"WR11","9","24","1 out of 5 stars","+5"
"23",4,"Pat Freiermuth",PIT,"TE2","7","22","5 out of 5 stars","+1"
"24",4,"Mac Jones",NE,"QB5","14","22","5 out of 5 stars","-2"
"25",4,"Amari Rodgers",GB,"WR12","13","21","1 out of 5 stars","-2"
"26",4,"Tylan Wallace",BAL,"WR13","8","22","2 out of 5 stars","+8"
"27",4,"Elijah Mitchell",SF,"RB7","6","-","3 out of 5 stars","+5"
"28",4,"Nico Collins",HOU,"WR14","10","22","3 out of 5 stars","-2"
"29",5,"Chuba Hubbard",CAR,"RB8","13","22","2 out of 5 stars","-4"
"30",5,"Rhamondre Stevenson",NE,"RB9","14","23","3 out of 5 stars","-1"
"31",5,"Josh Palmer",LAC,"WR15","7","21","3 out of 5 stars","-3"
"32",5,"Tutu Atwell",LAR,"WR16","11","21","5 out of 5 stars","-1"
"33",5,"Anthony Schwartz",CLE,"WR17","13","20","1 out of 5 stars","+6"
"34",5,"Jermar Jefferson",DET,"RB10","9","21","0 out of 5 stars","-1"
"35",5,"Kylin Hill",GB,"RB11","13","23","0 out of 5 stars","+8"
"36",5,"Brevin Jordan",HOU,"TE3","10","21","4 out of 5 stars","+4"
"37",5,"Javian Hawkins",ATL,"RB12","6","21","2 out of 5 stars","-7"
"38",5,"Seth Williams",DEN,"WR18","11","21","4 out of 5 stars","-3"
"39",5,"Khalil Herbert",CHI,"RB13","10","23","3 out of 5 stars","+3"
"40",5,"Kyle Trask",TB,"QB6","9","23","2 out of 5 stars","-3"
"41",6,"Larry Rountree III",LAC,"RB14","7","-","4 out of 5 stars","+10"
"42",6,"Hunter Long",MIA,"TE4","14","23","4 out of 5 stars","-6"
"43",6,"Jaret Patterson",WAS,"RB15","9","21","3 out of 5 stars","+2"
"44",6,"Sage Surratt",DET,"WR19","9","23","1 out of 5 stars","+13"
"45",6,"Marquez Stevenson",BUF,"WR20","7","23","3 out of 5 stars","+11"
"46",6,"Dazz Newsome",CHI,"WR21","10","22","3 out of 5 stars","+2"
"47",6,"Demetric Felton",CLE,"WR22","13","23","1 out of 5 stars","+3"
"48",6,"Shi Smith",CAR,"WR23","13","22","5 out of 5 stars","+6"
"49",6,"Kellen Mond",MIN,"QB7","7","22","3 out of 5 stars","-11"
"50",6,"Dez Fitzpatrick",TEN,"WR24","13","23","3 out of 5 stars","-9"
"51",6,"Jaelon Darden",TB,"WR25","9","-","2 out of 5 stars","-4"
"52",6,"Davis Mills",HOU,"QB8","10","22","4 out of 5 stars","-3"
"53",7,"Chris Evans",CIN,"RB16","10","23","3 out of 5 stars","-1"
"54",7,"Pooka Williams Jr.",CIN,"RB17","10","22","3 out of 5 stars","-8"
"55",7,"Tommy Tremble",CAR,"TE5","13","21","4 out of 5 stars","0"
"56",7,"Cade Johnson",SEA,"WR26","9","23","1 out of 5 stars","+4"
"57",7,"Simi Fehoko",DAL,"WR27","7","23","1 out of 5 stars","+8"
"58",7,"Ihmir Smith-Marsette",MIN,"WR28","7","21","3 out of 5 stars","-5"
"59",7,"Cornell Powell",KC,"WR29","12","23","3 out of 5 stars","-15"
"60",7,"Jamie Newman",FA,"QB9","-","23","-","+9"
"61",7,"Tre' McKitty",LAC,"TE6","7","22","3 out of 5 stars","0"
"62",7,"Marlon Williams",FA,"WR30","-","-","-","+5"
"63",7,"Rakeem Boyd",FA,"RB18","-","-","-","-1"
"64",7,"Jake Funk",LAR,"RB19","11","23","4 out of 5 stars","0"
"65",7,"Jonathan Adams Jr.",FA,"WR31","-","22","-","+8"
"66",7,"Dax Milne",WAS,"WR32","9","22","3 out of 5 stars","-"
"67",7,"Trevon Grimes",FA,"WR33","-","-","-","+7"
"68",7,"Josh Imatorbhebhe",JAC,"WR34","7","23","5 out of 5 stars","+4"
"69",7,"Austin Watkins Jr.",SF,"WR35","6","-","5 out of 5 stars","+6"
"70",7,"Kylen Granson",IND,"TE7","14","23","4 out of 5 stars","-2"
"71",7,"Damonte Coxie",FA,"WR36","-","-","-","-"
"72",7,"Deon Jackson",IND,"RB20","14","22","4 out of 5 stars","-"
"73",8,"Ian Book",NO,"QB10","6","23","3 out of 5 stars","-"
"74",8,"Frank Darby",ATL,"WR37","6","23","4 out of 5 stars","-8"
"75",8,"CJ Marable",CHI,"RB21","10","24","3 out of 5 stars","-"
"76",8,"Kenny Yeboah",NYJ,"TE8","6","22","3 out of 5 stars","-6"
"77",8,"Stevie Scott III",NO,"RB22","6","-","2 out of 5 stars","-"
"78",8,"Sam Ehlinger",IND,"QB11","14","22","4 out of 5 stars","-"
