"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","29.8","33.8","50.3","139.8"
"Justin Tucker","BAL","28.7","33.0","47.9","133.9"
"Tyler Bass","BUF","27.8","33.3","48.3","131.8"
"Greg Zuerlein","DAL","29.3","36.1","43.5","131.4"
"Jason Sanders","MIA","30.0","34.7","37.5","127.5"
"Jason Myers","SEA","27.5","31.4","44.5","126.9"
"Rodrigo Blankenship","IND","28.6","34.3","40.4","126.1"
"Younghoe Koo","ATL","30.0","34.0","35.5","125.4"
"Mason Crosby","GB","24.7","27.4","50.7","124.9"
"Ryan Succop","TB","26.4","31.4","45.6","124.8"
"Robbie Gould","SF","26.8","33.9","43.3","123.8"
"Wil Lutz","NO","26.5","32.0","43.9","123.3"
"Cody Parkey","CLE","26.8","31.9","42.3","122.8"
"Daniel Carlson","LV","27.9","33.6","38.8","122.3"
"Michael Badgley","LAC","27.3","35.3","40.1","122.0"
"Graham Gano","NYG","29.6","32.7","32.8","121.8"
"Matt Prater","ARI","26.4","31.6","42.2","121.2"
"Matt Gay","LAR","28.0","33.1","36.7","120.8"
"Ka'imi Fairbairn","HOU","27.9","32.9","37.0","120.7"
"Cairo Santos","CHI","27.3","33.0","36.4","118.3"
"Tucker McCann","TEN","23.8","28.6","46.7","118.2"
"Nick Folk","NE","27.3","31.4","36.3","118.1"
"Greg Joseph","MIN","24.7","29.9","43.6","117.8"
"Brandon McManus","DEN","27.5","31.8","33.9","116.5"
"Evan McPherson","CIN","26.9","32.5","35.3","115.9"
"Chris Boswell","PIT","25.5","29.0","37.2","113.7"
"Joey Slye","CAR","26.6","33.4","32.6","112.5"
"Dustin Hopkins","WAS","26.1","32.1","34.3","112.5"
"Randy Bullock","DET","25.9","31.4","32.6","110.3"
"Josh Lambo","JAC","25.9","28.6","31.9","109.6"
"Sam Ficken","TEN","26.4","32.0","29.8","108.9"
"Austin Seibert","CIN","25.3","33.8","27.9","103.9"
"Jake Elliott","PHI","22.1","27.3","33.6","99.8"
"Chris Naggar","NYJ","22.0","27.0","29.0","95.0"
"Chase McLaughlin","CLE","0.0","0.0","0.0","0.0"
""
""
