"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","616.1","408.4","4,680.3","33.9","12.9","106.7","519.9","8.7","5.1","391.0"
"Patrick Mahomes II","KC","645.1","429.8","5,064.5","37.4","9.6","49.4","239.3","2.9","2.5","369.6"
"Justin Herbert","LAC","633.2","414.2","4,714.9","30.9","12.8","75.5","336.8","7.8","3.1","360.9"
"Kyler Murray","ARI","585.3","386.1","4,109.7","27.3","14.1","126.1","724.7","7.7","3.7","356.8"
"Lamar Jackson","BAL","456.5","287.7","3,319.8","28.4","14.0","158.6","981.7","6.1","4.0","345.1"
"Dak Prescott","DAL","629.1","416.4","4,753.5","31.4","13.4","57.9","271.7","4.7","4.1","336.2"
"Aaron Rodgers","GB","575.2","388.5","4,450.8","36.5","8.5","42.7","171.9","2.0","3.1","329.9"
"Tom Brady","TB","631.0","405.5","4,797.8","35.8","13.3","30.2","27.1","2.6","2.2","322.3"
"Russell Wilson","SEA","546.3","361.2","4,092.0","32.3","13.1","79.6","444.9","2.1","3.5","316.8"
"Ryan Tannehill","TEN","495.5","323.9","3,911.0","29.7","10.2","51.1","234.7","4.3","2.9","298.5"
"Joe Burrow","CIN","619.3","401.6","4,280.8","26.7","12.8","68.5","309.8","4.4","7.7","294.2"
"Trevor Lawrence","JAC","618.7","399.6","4,335.9","26.1","12.8","71.0","412.4","2.9","10.3","290.7"
"Jalen Hurts","PHI","559.8","330.5","3,649.4","21.3","15.8","133.1","685.7","5.5","5.4","290.3"
"Matt Ryan","ATL","628.8","410.1","4,640.7","27.6","14.4","33.1","124.8","1.8","4.3","282.2"
"Derek Carr","LV","567.1","376.5","4,273.3","27.4","11.4","37.6","124.9","2.5","5.3","274.7"
"Kirk Cousins","MIN","528.8","355.9","4,250.6","29.5","13.5","34.2","114.0","1.2","4.1","271.6"
"Tua Tagovailoa","MIA","577.4","382.4","4,073.2","25.4","13.4","53.9","206.0","3.1","2.7","271.3"
"Matthew Stafford","LAR","604.4","401.8","4,486.2","25.7","11.9","38.5","146.8","0.7","3.2","271.0"
"Ryan Fitzpatrick","WAS","580.6","379.8","3,994.9","22.5","17.9","56.3","285.1","4.8","2.3","266.8"
"Baker Mayfield","CLE","525.0","331.1","3,838.1","28.5","12.7","49.5","182.9","2.2","3.3","266.6"
"Carson Wentz","IND","539.4","343.8","3,772.6","25.3","12.8","64.3","280.0","3.5","5.8","263.5"
"Ben Roethlisberger","PIT","657.6","426.0","4,299.0","28.8","14.7","27.8","47.6","0.5","2.3","261.2"
"Deshaun Watson","HOU","420.5","286.8","3,430.7","21.8","8.8","68.9","347.6","4.0","2.4","260.8"
"Justin Fields","CHI","548.7","357.7","3,697.6","23.9","13.7","85.4","469.9","3.5","11.9","260.1"
