"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.3","1,302.3","12.0","93.7","757.9","4.3","2.5","298.3"
"Dalvin Cook","MIN","316.6","1,487.5","12.9","54.8","472.2","2.0","2.9","279.5"
"Derrick Henry","TEN","343.2","1,704.1","14.2","23.8","178.5","1.1","2.7","274.7"
"Alvin Kamara","NO","207.0","942.1","9.8","81.2","689.0","3.5","1.9","239.1"
"Jonathan Taylor","IND","272.5","1,263.8","10.9","42.1","320.9","1.6","1.9","229.6"
"Nick Chubb","CLE","271.6","1,362.4","11.0","29.3","229.1","1.0","1.9","227.2"
"Aaron Jones","GB","232.5","1,126.5","10.4","50.8","393.2","2.7","2.1","226.4"
"Ezekiel Elliott","DAL","281.9","1,210.0","9.5","52.8","393.2","2.4","2.9","226.1"
"Saquon Barkley","NYG","265.2","1,199.4","9.0","56.0","435.0","1.9","1.8","225.2"
"Joe Mixon","CIN","274.9","1,157.5","8.1","50.4","369.2","2.9","2.0","214.3"
"Najee Harris","PIT","261.1","1,145.8","8.8","49.9","369.2","2.2","2.6","212.5"
"Antonio Gibson","WAS","242.6","1,086.5","9.7","46.4","337.6","1.5","2.1","205.0"
"Austin Ekeler","LAC","178.3","813.6","4.7","79.3","684.2","4.6","1.6","202.8"
"David Montgomery","CHI","255.5","1,068.5","8.1","40.1","316.3","1.6","2.0","192.6"
"Clyde Edwards-Helaire","KC","222.0","998.9","7.3","50.6","389.4","2.2","1.8","192.3"
"Chris Carson","SEA","230.3","1,055.0","7.4","43.5","322.4","2.4","2.1","192.2"
"Josh Jacobs","LV","257.0","1,098.5","9.5","31.5","236.4","0.9","2.0","191.6"
"J.K. Dobbins","BAL","212.0","1,072.7","9.4","31.8","240.8","1.2","1.6","191.6"
"Miles Sanders","PHI","223.2","1,068.2","6.7","40.7","333.4","1.7","1.8","187.0"
"D'Andre Swift","DET","189.9","846.0","7.7","58.7","435.3","2.1","2.3","182.5"
"James Robinson","JAC","222.4","964.2","6.8","43.3","309.6","1.4","1.6","173.4"
"Mike Davis","ATL","225.6","892.3","6.6","48.6","310.1","1.7","1.9","166.2"
"Travis Etienne Jr.","JAC","134.0","611.0","5.0","73.0","620.0","3.0","3.0","165.1"
"Chase Edmonds","ARI","169.9","757.3","5.0","51.7","379.2","2.9","1.5","158.0"
"Darrell Henderson","LAR","197.9","858.0","6.8","28.8","240.7","1.4","1.7","155.8"
"Damien Harris","NE","223.4","1,047.9","6.5","12.2","90.8","0.3","1.4","152.1"
"Myles Gaskin","MIA","184.0","778.2","5.1","43.2","337.9","1.8","2.0","149.3"
"Kareem Hunt","CLE","154.7","685.0","5.5","39.6","318.4","2.5","1.3","146.0"
"Raheem Mostert","SF","157.3","782.3","6.2","25.7","222.3","1.4","1.4","142.7"
"Javonte Williams","DEN","192.3","853.8","5.7","26.3","204.6","1.1","2.0","142.2"
"Leonard Fournette","TB","164.5","674.3","6.2","28.0","191.1","0.8","1.2","125.8"
"Zack Moss","BUF","156.6","672.0","5.6","23.7","171.2","1.2","1.2","122.7"
"Melvin Gordon III","DEN","166.7","733.6","5.6","21.9","141.9","1.0","2.4","121.9"
"Trey Sermon","SF","149.6","678.8","5.7","19.4","158.2","1.0","1.8","120.2"
