"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","289.7","1,216.5","11.7","97.5","812.2","4.2","2.5","293.7"
"Dalvin Cook","MIN","309.4","1,452.6","13.4","56.0","483.5","1.3","2.9","276.2"
"Derrick Henry","TEN","351.5","1,679.0","13.3","25.3","191.5","1.0","2.7","267.3"
"Saquon Barkley","NYG","284.3","1,296.1","9.9","57.3","440.1","1.6","1.8","238.8"
"Nick Chubb","CLE","281.2","1,440.7","10.6","28.4","239.3","0.7","1.9","232.2"
"Alvin Kamara","NO","210.3","949.4","8.8","82.2","680.7","3.3","1.9","231.6"
"Aaron Jones","GB","229.4","1,125.4","9.9","55.6","432.6","2.9","2.1","228.2"
"Jonathan Taylor","IND","274.5","1,216.4","10.4","45.2","346.9","1.8","1.9","225.7"
"Ezekiel Elliott","DAL","294.5","1,206.1","10.1","48.6","349.8","2.0","3.0","222.0"
"Cam Akers","LAR","273.0","1,237.7","9.1","32.6","324.5","1.9","2.0","218.4"
"Austin Ekeler","LAC","178.3","807.9","3.9","85.4","772.4","5.4","2.1","210.1"
"Joe Mixon","CIN","267.2","1,075.2","7.7","46.7","345.1","3.3","2.0","204.3"
"J.K. Dobbins","BAL","210.1","1,097.8","10.1","29.7","229.6","0.7","1.6","194.2"
"Miles Sanders","PHI","220.8","1,083.6","6.3","44.4","376.2","1.7","1.8","190.7"
"D'Andre Swift","DET","193.8","818.9","8.5","64.5","474.3","2.0","2.3","187.6"
"Najee Harris","PIT","231.0","955.4","7.9","51.0","382.2","1.9","2.5","187.1"
"Josh Jacobs","LV","253.6","1,054.4","9.6","30.7","232.9","0.5","2.0","185.3"
"Antonio Gibson","WAS","227.2","1,011.2","9.3","39.3","275.9","0.6","2.1","184.3"
"Chris Carson","SEA","220.8","1,007.9","7.0","42.3","305.1","2.4","2.1","184.1"
"Clyde Edwards-Helaire","KC","208.1","939.4","7.0","45.7","367.2","1.6","1.7","178.8"
"David Montgomery","CHI","235.1","961.8","7.4","36.5","296.0","1.7","1.9","176.0"
"Myles Gaskin","MIA","204.5","838.6","5.4","50.2","402.5","2.0","2.1","164.3"
"Mike Davis","ATL","204.2","752.9","6.1","52.0","335.9","2.1","1.9","154.2"
"Chase Edmonds","ARI","153.2","692.8","4.1","52.7","399.7","3.8","1.5","153.5"
"Travis Etienne","JAC","135.5","615.4","4.3","64.3","543.0","2.4","1.9","152.5"
"Melvin Gordon III","DEN","210.4","921.4","6.8","31.2","192.5","1.1","3.0","152.4"
"Raheem Mostert","SF","163.8","840.7","6.2","25.3","237.1","1.6","1.4","152.0"
"Kareem Hunt","CLE","153.5","680.4","6.4","37.2","313.0","2.8","1.3","151.8"
"James Conner","ARI","173.1","813.4","7.4","30.1","216.9","1.0","1.4","150.3"
