"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.4","1,399.2","10.2","0.8","199.8"
"George Kittle","SF","96.3","1,204.6","6.6","0.7","158.5"
"Darren Waller","LV","100.3","1,144.3","7.1","0.9","155.5"
"Mark Andrews","BAL","70.6","854.0","8.2","0.9","132.6"
"Kyle Pitts","ATL","69.4","839.0","6.4","1.2","119.7"
"T.J. Hockenson","DET","75.3","836.0","5.2","0.8","113.4"
"Tyler Higbee","LAR","61.1","681.4","5.4","0.6","99.0"
"Robert Tonyan","GB","54.6","599.7","6.4","0.1","98.3"
"Logan Thomas","WAS","64.9","667.8","5.3","0.6","97.2"
"Noah Fant","DEN","63.1","698.8","4.4","0.7","95.1"
"Dallas Goedert","PHI","61.6","678.8","4.7","0.7","94.4"
"Mike Gesicki","MIA","54.7","610.6","5.3","0.7","91.3"
"Irv Smith Jr.","MIN","52.5","580.9","5.6","0.7","90.5"
"Jared Cook","LAC","46.0","575.8","5.1","0.6","87.0"
"Rob Gronkowski","TB","40.6","528.6","5.6","0.2","85.9"
"Jonnu Smith","NE","55.7","580.9","4.7","0.7","85.2"
"Blake Jarwin","DAL","51.0","574.9","4.2","0.7","81.3"
"Eric Ebron","PIT","54.3","535.4","4.4","0.7","78.6"
"Evan Engram","NYG","57.6","584.1","3.6","0.7","78.6"
"Hunter Henry","NE","52.2","565.2","3.9","0.6","78.6"
"Anthony Firkser","TEN","49.0","526.1","4.0","0.1","76.3"
"Austin Hooper","CLE","50.2","502.7","4.5","0.6","76.0"
"Zach Ertz","PHI","50.2","510.8","3.5","0.6","70.8"
"Gerald Everett","SEA","44.0","452.7","4.1","0.6","68.8"
"Cole Kmet","CHI","48.4","481.4","3.7","1.2","68.0"
"Jordan Akins","HOU","45.0","477.8","2.9","0.1","64.8"
"Adam Trautman","NO","40.9","449.1","3.5","0.6","64.6"
"Dawson Knox","BUF","33.9","389.8","3.6","0.6","59.3"
"Hayden Hurst","ATL","38.3","403.4","2.9","0.1","57.9"
"C.J. Uzomah","CIN","36.8","357.9","3.3","0.1","55.1"
"Jack Doyle","IND","31.3","324.0","3.0","0.1","50.4"
"Donald Parham Jr.","LAC","28.0","339.1","2.5","0.1","48.7"
"O.J. Howard","TB","26.7","338.7","2.5","0.7","47.3"
"Dan Arnold","CAR","27.7","346.7","2.3","0.7","47.2"
"Will Dissly","SEA","28.6","299.5","2.8","0.1","46.6"
"Mo Alie-Cox","IND","29.7","325.5","2.5","0.6","46.3"
"Chris Herndon IV","NYJ","32.0","321.7","2.5","1.6","43.7"
