"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","117.9","1,448.0","11.0","0.8","209.0"
"George Kittle","SF","95.9","1,186.6","6.4","0.7","155.5"
"Darren Waller","LV","97.9","1,149.4","7.0","1.4","154.0"
"Mark Andrews","BAL","68.3","845.9","8.5","0.9","133.9"
"Kyle Pitts","ATL","66.4","825.8","6.5","1.2","119.4"
"T.J. Hockenson","DET","70.2","772.5","5.2","0.8","106.7"
"Jared Cook","LAC","46.3","665.9","6.1","0.6","102.0"
"Dallas Goedert","PHI","64.7","725.4","4.7","0.7","99.4"
"Robert Tonyan","GB","51.2","569.7","6.9","0.1","97.9"
"Mike Gesicki","MIA","52.9","618.4","5.4","0.7","92.8"
"Irv Smith Jr.","MIN","53.8","589.1","5.3","0.7","89.6"
"Logan Thomas","WAS","60.7","609.3","4.9","0.6","89.3"
"Rob Gronkowski","TB","40.2","544.1","5.8","0.2","88.6"
"Austin Hooper","CLE","53.3","554.3","5.5","0.6","87.1"
"Eric Ebron","PIT","60.1","591.8","4.9","0.7","87.0"
"Tyler Higbee","LAR","55.6","607.5","4.5","0.6","86.7"
"Noah Fant","DEN","57.5","615.8","3.9","0.6","83.6"
"Jonnu Smith","NE","54.7","556.5","4.6","0.7","81.9"
"Hunter Henry","NE","54.8","596.8","3.7","0.6","80.4"
"Evan Engram","NYG","55.7","555.2","3.2","0.7","73.3"
"Jordan Akins","HOU","47.7","532.5","3.1","0.6","70.4"
"Dawson Knox","BUF","39.2","452.2","4.3","0.7","69.9"
"Zach Ertz","PHI","50.1","528.1","2.9","0.6","68.7"
"Anthony Firkser","TEN","43.4","497.7","3.2","0.1","68.4"
"Cole Kmet","CHI","50.1","472.0","3.9","1.2","68.0"
"Dalton Schultz","DAL","45.9","468.0","3.7","0.6","67.7"
"O.J. Howard","TB","37.4","480.1","3.2","0.7","66.1"
"Blake Jarwin","DAL","40.9","454.5","3.2","0.2","64.5"
"C.J. Uzomah","CIN","40.7","388.4","4.0","0.1","62.7"
"Chris Herndon IV","NYJ","43.0","435.1","3.6","1.7","61.7"
"Dan Arnold","CAR","30.6","427.6","3.0","0.7","59.6"
"Will Dissly","SEA","34.7","372.9","3.7","0.1","59.2"
"Gerald Everett","SEA","39.0","413.3","3.0","0.6","58.3"
"Jack Doyle","IND","35.6","364.2","3.7","0.2","58.0"
"Tyler Eifert","JAC","42.0","394.0","3.0","0.0","57.4"
"Ryan Izzo","HOU","28.0","485.0","2.0","2.0","56.5"
"Donald Parham Jr.","LAC","29.8","375.6","2.4","0.1","51.9"
"Adam Trautman","NO","33.4","361.4","2.6","0.2","51.2"
"Mo Alie-Cox","IND","30.2","357.9","2.3","0.6","48.3"
"Darren Fells","DET","25.7","271.1","3.2","0.0","46.2"
"Hayden Hurst","ATL","30.6","324.1","2.2","0.1","45.4"
"Jacob Hollister","BUF","33.1","285.6","2.6","0.5","42.9"
"Jimmy Graham","CHI","25.7","266.7","2.7","0.2","42.2"
"Kyle Rudolph","NYG","30.2","264.4","2.6","0.1","42.1"
"Albert Okwuegbunam","DEN","27.5","260.7","2.3","0.6","38.8"
"Tyler Conklin","MIN","25.8","269.9","1.9","0.1","38.4"
"David Njoku","CLE","21.2","235.2","2.5","0.0","38.4"
"Pat Freiermuth","PIT","31.4","271.1","2.0","0.5","38.0"
"James O'Shaughnessy","JAC","28.8","285.0","1.4","0.1","36.6"
"Trey Burton","IND","28.0","243.0","2.0","0.0","36.3"
"Maxx Williams","ARI","23.0","238.8","2.1","0.1","36.1"
"Drew Sample","CIN","31.6","278.5","1.5","0.6","36.0"
"Harrison Bryant","CLE","21.6","233.7","2.4","1.1","35.6"
"Nick Boyle","BAL","23.2","217.1","2.3","0.0","35.4"
"Geoff Swaim","TEN","24.8","229.0","1.9","0.1","34.4"
"Foster Moreau","LV","14.5","161.7","2.7","0.1","32.5"
"Adam Shaheen","MIA","16.0","163.0","3.0","1.0","32.3"
"Zach Davidson","MIN","18.0","205.0","2.0","1.0","30.5"
"Jace Sternberger","GB","21.0","174.0","2.0","0.0","29.4"
"Virgil Green","LAC","16.0","161.0","2.0","0.0","28.1"
"Cameron Brate","TB","19.9","189.4","1.4","0.0","27.4"
"Ian Thomas","CAR","20.8","171.5","1.7","0.0","27.2"
"Ryan Griffin","NYJ","17.1","164.8","1.8","0.0","27.1"
"Brycen Hopkins","LAR","18.2","188.2","1.3","0.1","26.4"
"Marcedes Lewis","GB","14.3","143.3","2.0","0.0","26.2"
"Devin Asiasi","NE","15.2","171.4","1.6","0.5","25.8"
