"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","124.2","1,479.4","14.1","0.0","0.0","0.0","0.8","230.7"
"Tyreek Hill","KC","100.4","1,433.4","11.6","14.5","95.2","0.9","1.2","225.7"
"Stefon Diggs","BUF","112.7","1,498.5","8.8","2.4","18.8","0.0","1.2","202.1"
"A.J. Brown","TEN","84.1","1,332.5","10.2","2.0","31.0","0.0","0.9","195.4"
"DeAndre Hopkins","ARI","123.8","1,453.7","7.6","2.0","10.0","0.0","1.5","188.9"
"D.K. Metcalf","SEA","84.1","1,281.4","9.9","1.0","5.0","0.0","1.4","185.5"
"Justin Jefferson","MIN","92.4","1,411.5","7.2","1.0","2.0","0.0","0.8","182.9"
"Calvin Ridley","ATL","84.9","1,216.2","8.6","4.8","23.8","0.1","0.8","174.4"
"Michael Thomas","NO","112.0","1,338.1","6.6","1.0","-4.0","0.0","0.8","172.0"
"Adam Thielen","MIN","79.4","1,042.1","10.3","4.9","21.5","0.6","0.7","170.5"
"Amari Cooper","DAL","92.0","1,183.4","7.6","4.3","17.7","0.1","0.8","164.6"
"Mike Evans","TB","72.4","1,080.9","9.6","0.0","0.0","0.0","0.7","164.5"
"Allen Robinson II","CHI","99.0","1,234.2","6.9","1.0","0.0","0.0","0.7","163.6"
"Terry McLaurin","WAS","89.1","1,240.2","6.5","1.6","12.9","0.0","0.7","163.0"
"Keenan Allen","LAC","112.1","1,200.0","7.3","2.0","10.7","0.0","1.0","162.9"
"Robert Woods","LAR","96.2","1,073.0","5.6","20.3","125.5","1.6","0.8","161.9"
"CeeDee Lamb","DAL","82.5","1,066.0","7.0","12.3","87.9","0.8","0.8","160.2"
"Julio Jones","ATL","89.4","1,249.8","5.8","2.0","-1.0","0.0","0.7","158.2"
"D.J. Moore","CAR","82.2","1,245.8","4.8","4.3","30.4","0.1","0.8","154.9"
"Chris Godwin","TB","83.5","1,101.7","7.4","1.0","8.0","0.0","0.8","153.5"
"Tyler Lockett","SEA","89.6","1,046.2","8.1","3.1","11.2","0.1","0.7","153.4"
"Cooper Kupp","LAR","96.3","1,104.2","6.6","3.6","23.4","0.1","0.7","151.3"
"Ja'Marr Chase","CIN","74.5","1,112.9","6.7","2.9","15.8","0.1","1.2","151.2"
"Kenny Golladay","NYG","68.7","1,041.9","7.9","0.0","0.0","0.0","0.7","149.9"
"Brandon Aiyuk","SF","75.3","951.3","7.0","17.6","98.9","0.7","0.7","149.8"
